id_sucursal,mostraba_opiniones,overral_stars,number_opinions,tiempo_delivery,tipo_envio,dollar_mean_price
225,1,4.0,481,35 - 50 min,Gratis(nuevos usuarios),8.46
226,1,4.1,372,35 - 50 min,Gratis(nuevos usuarios),8.06
227,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.72
228,1,4.1,642,35 - 50 min,Gratis(nuevos usuarios),7.93
229,1,3.6,32,35 - 50 min,Gratis(nuevos usuarios),8.06
230,1,4.2,260,35 - 50 min,Gratis(nuevos usuarios),8.06
231,1,4.2,80,35 - 50 min,Gratis(nuevos usuarios),8.06
232,1,3.9,51,35 - 50 min,Gratis(nuevos usuarios),8.06
233,0,0.0,0,No específicado,No específicado,8.37
234,1,4.4,650,35 - 50 min,Gratis(nuevos usuarios),8.4
235,1,4.4,117,35 - 50 min,Gratis(nuevos usuarios),8.06
236,1,3.9,27,35 - 50 min,Gratis(nuevos usuarios),8.06
237,1,3.1,22,35 - 50 min,Gratis(nuevos usuarios),8.06
238,1,4.4,54,35 - 50 min,Gratis(nuevos usuarios),8.3
239,1,3.8,217,35 - 50 min,Gratis(nuevos usuarios),8.19
240,0,0.0,0,No específicado,Gratis(nuevos usuarios),8.06
241,1,4.1,136,35 - 50 min,Gratis(nuevos usuarios),8.82
242,0,0.0,0,No específicado,No específicado,8.19
243,1,3.9,59,35 - 50 min,Gratis(nuevos usuarios),8.06
244,1,3.8,371,35 - 50 min,Gratis(nuevos usuarios),8.14
245,1,4.0,347,35 - 50 min,Gratis(nuevos usuarios),8.06
246,1,3.8,587,35 - 50 min,Gratis(nuevos usuarios),8.31
247,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.55
248,1,4.4,26,35 - 50 min,Gratis(nuevos usuarios),8.82
249,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),8.27
250,0,0.0,0,No específicado,Gratis(nuevos usuarios),11.33
251,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),9.19
252,1,4.6,35,35 - 50 min,Gratis(nuevos usuarios),8.19
253,0,0.0,0,No específicado,Gratis(nuevos usuarios),8.29
254,1,4.6,39,35 - 50 min,Gratis(nuevos usuarios),6.95
255,0,0.0,0,28 - 43 min,Gratis(nuevos usuarios),7.05
256,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),4.66
257,1,4.6,548,39 - 54 min,Gratis(nuevos usuarios),19.95
258,0,0.0,0,No específicado,Gratis(nuevos usuarios),9.43
259,1,3.8,21,51 - 66 min,Gratis(nuevos usuarios),19.66
260,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.44
261,0,0.0,0,29 - 44 min,Gratis(nuevos usuarios),1.82
262,1,4.0,38,40 - 55 min,Gratis(nuevos usuarios),3.71
263,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.51
264,1,4.7,23,35 - 50 min,Gratis(nuevos usuarios),3.44
265,0,0.0,0,26 - 41 min,Gratis(nuevos usuarios),4.04
266,1,3.7,21,35 - 50 min,Gratis(nuevos usuarios),3.4
267,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.44
268,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.51
269,1,3.6,21,35 - 50 min,Gratis(nuevos usuarios),3.44
270,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.51
271,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.43
272,1,4.6,20,35 - 50 min,Gratis(nuevos usuarios),3.45
273,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),2.82
274,1,4.3,56,35 - 50 min,Gratis(nuevos usuarios),3.44
275,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.45
276,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.44
277,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.44
278,0,0.0,0,39 - 54 min,Gratis(nuevos usuarios),4.9
279,0,0.0,0,39 - 54 min,Gratis(nuevos usuarios),4.9
280,0,0.0,0,27 - 42 min,Gratis(nuevos usuarios),3.51
281,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.21
282,1,4.1,42,35 - 50 min,Gratis(nuevos usuarios),3.44
283,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.43
284,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.44
285,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.44
286,1,4.5,40,35 - 50 min,Gratis(nuevos usuarios),7.82
287,1,4.1,107,35 - 50 min,Gratis(nuevos usuarios),9.39
288,1,4.3,25,35 - 50 min,Gratis(nuevos usuarios),8.98
289,1,4.3,41,35 - 50 min,Gratis(nuevos usuarios),9.13
290,1,3.8,24,35 - 50 min,Gratis(nuevos usuarios),5.68
291,0,0.0,0,No específicado,Gratis(nuevos usuarios),8.95
292,0,4.3,141,No específicado,Gratis(nuevos usuarios),9.36
293,1,4.5,264,23 - 38 min,Gratis(nuevos usuarios),6.77
294,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),7.02
295,1,3.6,30,35 - 50 min,Gratis(nuevos usuarios),7.11
296,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.94
297,1,4.3,251,35 - 50 min,Gratis(nuevos usuarios),7.29
298,1,3.8,163,35 - 50 min,Gratis(nuevos usuarios),5.93
299,0,4.7,26,No específicado,Gratis(nuevos usuarios),7.76
300,0,0.0,0,No específicado,Gratis(nuevos usuarios),6.71
301,1,3.9,37,35 - 50 min,Gratis(nuevos usuarios),6.16
302,1,4.4,52,35 - 50 min,Gratis(nuevos usuarios),6.16
303,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.71
304,1,4.0,26,40 - 55 min,Gratis(nuevos usuarios),7.27
305,1,4.2,38,35 - 50 min,Gratis(nuevos usuarios),5.01
306,1,4.0,38,35 - 50 min,Gratis(nuevos usuarios),6.49
307,0,4.2,21,No específicado,Gratis(nuevos usuarios),4.11
308,1,4.2,38,35 - 50 min,Gratis(nuevos usuarios),11.43
309,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),10.09
310,1,4.4,301,44 - 59 min,Gratis(nuevos usuarios),7.93
311,0,4.1,216,No específicado,Gratis(nuevos usuarios),6.55
312,1,4.4,27,35 - 50 min,Gratis(nuevos usuarios),9.66
313,0,3.4,28,No específicado,Gratis(nuevos usuarios),7.95
314,0,0.0,0,31 - 46 min,Gratis(nuevos usuarios),6.77
315,0,0.0,0,28 - 43 min,Gratis(nuevos usuarios),6.78
316,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.12
317,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),5.12
318,1,4.3,34,35 - 50 min,Gratis(nuevos usuarios),3.5
319,1,4.6,43,35 - 50 min,Gratis(nuevos usuarios),5.39
320,1,4.4,287,35 - 50 min,Gratis(nuevos usuarios),6.88
321,1,4.6,91,35 - 50 min,Gratis(nuevos usuarios),5.66
322,1,4.6,155,35 - 50 min,Gratis(nuevos usuarios),6.94
323,1,4.1,41,35 - 50 min,Gratis(nuevos usuarios),11.81
324,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.62
325,1,4.4,65,27 - 42 min,Gratis(nuevos usuarios),3.86
326,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.33
327,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.87
328,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.87
329,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),28.31
330,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),1.03
331,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),1.03
332,0,0.0,0,No específicado,Gratis(nuevos usuarios),1.03
333,0,0.0,0,No específicado,Gratis(nuevos usuarios),8.81
334,0,0.0,0,32 - 47 min,Gratis(nuevos usuarios),9.89
335,0,0.0,0,No específicado,No específicado,5.72
336,0,4.4,27,No específicado,Gratis(nuevos usuarios),7.34
337,1,4.3,138,35 - 50 min,Gratis(nuevos usuarios),8.21
338,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),7.82
339,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),7.82
340,1,4.4,236,50 - 65 min,Gratis(nuevos usuarios),8.31
341,0,3.7,38,No específicado,Gratis(nuevos usuarios),6.98
342,1,3.6,21,35 - 50 min,Gratis(nuevos usuarios),7.72
343,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.04
344,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.72
345,1,4.2,41,35 - 50 min,Gratis(nuevos usuarios),4.57
346,1,4.2,28,24 - 39 min,Gratis(nuevos usuarios),4.74
347,0,4.4,34,No específicado,Gratis(nuevos usuarios),6.51
348,0,4.2,123,No específicado,Gratis(nuevos usuarios),6.15
349,1,4.2,30,35 - 50 min,Gratis(nuevos usuarios),5.42
350,0,4.4,42,No específicado,Gratis(nuevos usuarios),4.67
351,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),4.61
352,0,0.0,0,31 - 46 min,Gratis(nuevos usuarios),4.71
353,1,4.8,23,35 - 50 min,Gratis(nuevos usuarios),7.32
354,1,4.4,481,35 - 50 min,Gratis(nuevos usuarios),6.77
355,0,0.0,0,No específicado,Gratis(nuevos usuarios),6.25
356,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),6.01
357,1,4.3,75,22 - 37 min,Gratis(nuevos usuarios),3.94
358,1,4.4,105,43 - 58 min,Gratis(nuevos usuarios),10.0
359,1,4.1,261,36 - 51 min,Gratis(nuevos usuarios),8.92
360,1,4.1,27,35 - 50 min,Gratis(nuevos usuarios),9.03
361,1,4.4,93,35 - 50 min,Gratis(nuevos usuarios),5.52
362,1,4.5,63,35 - 50 min,Gratis(nuevos usuarios),8.62
363,1,4.6,107,35 - 50 min,Gratis(nuevos usuarios),8.8
364,1,4.0,121,29 - 44 min,Gratis(nuevos usuarios),8.92
365,1,3.7,48,35 - 50 min,Gratis(nuevos usuarios),8.13
366,1,4.2,25,35 - 50 min,Gratis(nuevos usuarios),8.17
367,1,4.2,29,35 - 50 min,Gratis(nuevos usuarios),7.91
368,1,4.3,55,35 - 50 min,Gratis(nuevos usuarios),8.13
369,1,3.5,24,27 - 42 min,Gratis(nuevos usuarios),8.47
